Company Name, Email, Telephone, Website, Address
AFPRO Filters,verkauf@afprofilters.com,(+49 2383) 9 19-1 30,http://www.afprofilters.com,Siemensstr. 42 59199 Bönen Deutschland 
AFPT,info@afpt.de,(+49 6747) 95 01 85-0,http://www.afpt.de,Trinkbornstr. 10 56281 Dörth Deutschland 
AFS Airfilter Systeme,info@afs-airfilter.de,(+49 7944) 91 60-0,http://www.afs-airfilter.de,Am Richtbach 14 74547 Untermünkheim Deutschland 
AGCO,info.fendt@agcocorp.com,(+49 8342) 77-0,http://www.fendt.com,Johann-Georg-Fendt-Str. 4 87616 Marktoberdorf Deutschland 
AGCO Deutschland,info@de.agcocorp.com,(+49 8342) 77-0,http://www.agcocorp.com,Johann-Georg-Fendt-Str. 14 87616 Marktoberdorf Deutschland 
AGCO Feucht,fella-finance@agcocorp.com,(+49 9128) 73-0,http://www.fella.eu/,Fellastr. 1 - 3 90537 Feucht Deutschland 
AGCO International,info.fendt@agcocorp.com,(+41 52) 7 25-22 00,http://www.agcocorp.com,Victor-von-Bruns-Str. 17 8212 Neuhausen am Rheinfall Schweiz 
AGCO Netherlands,info@agchem.nl,(+31 77) 3 27 84 00,http://www.agchemeurope.com,Horsterweg 66 A 5971 NG Grubbenvorst Niederlande 
Agria-Werke,info@agria.de,(+49 6298) 39-0,http://www.agria.de,Bittelbronner Str. 42 74219 Möckmühl Deutschland 
agrotop,s.graef@agrotop.com,(+49 9453) 99 38-0,http://www.agrotop.com,Köferinger Str. 5 93083 Obertraubling Deutschland 
AGTOS,info@agtos.de,(+49 2572) 9 60 26-0,http://www.agtos.de,Gutenbergstr. 14 48282 Emsdetten Deutschland 
AICHELIN,marketing@aichelin.com,(+43 22 36) 2 36 46-0,http://www.aichelin.com,Fabriksgasse 3 2340 Mödling Österreich 
AICHELIN Holding,marketing@aichelin.com,(+43 2236) 2 36 46-0,http://www.aichelin.com,Fabriksgasse 3 2340 Mödling Österreich 
AICHELIN Service,marketing@aichelin.com,(+49 7141) 64 37-0,http://www.aichelin.com,Schultheiß-Köhle-Str. 7 71636 Ludwigsburg Deutschland 
AIM3D,kontakt@aim3d.de,(+49 381) 3676609-0,https://www.aim3d.de,Industriestr. 12 18069 Rostock Deutschland 
Air Liquide Global E&C Solutions Germany,communication@airliquide.com,(+49 69) 58 08-0,http://www.engineering-solutions.airliquide.com,Olof-Palme-Str. 35 60439 Frankfurt am Main Deutschland 
Air Torque,info@airtorque.de,(+49 7243) 59 34-0,http://www.airtorque.de,Im Katzentach 16 - 18 76275 Ettlingen Deutschland 
AIT Goehner,info@ait.de,(+49 711) 2 38 53-0,http://www.ait.de,Wilhelmsplatz 11 70182 Stuttgart Deutschland 
AIT-Applied Information Technologies,info@aitgmbh.de,(+49 711) 4 90 66-4 30,http://www.aitgmbh.de,Leitzstr. 45 70469 Stuttgart Deutschland 
AKE Knebel,info@ake.de,(+49 7433) 2 61-0,http://www.ake.de,Hölzlestr. 14 + 16 72336 Balingen Deutschland 
AL-KO THERM,absaug.technik@al-ko.de,(+49 8225) 39-24 12,http://www.al-ko.de,Hauptstr. 248 - 250 89343 Jettingen-Scheppach Deutschland 
Albert-Frankenthal,info@albert-ft.com,(+49 6233) 8 73-0,http://www.albert-frankenthal.de,Lambsheimer Str. 18 67227 Frankenthal Deutschland 
Albrecht Präzision,info@albrecht-germany.com,(+49 7153) 30 06-0,http://www.albrecht-germany.com,Antoniusstr. 25 73249 Wernau Deutschland 
ALD Vacuum Technologies,info@ald-vt.de,(+49 6181) 3 07-0,http://www.ald-vt.de,Otto-von-Guericke-Platz 1 63457 Hanau Deutschland 
Alexanderwerk,contact@alexanderwerk.com,(+49 2191) 7 95-0,http://www.alexanderwerk.com,Kippdorfstr. 6 - 24 42857 Remscheid Deutschland 
Alexanderwerk,contact@alexanderwerk.com,(+49 2191) 7 95-0,http://www.alexanderwerk.com,Kippdorfstr. 6 - 24 42857 Remscheid Deutschland 
Alexanderwerk Service,service@alexanderwerk.com,(+49 2191) 7 95-2 53,http://www.alexanderwerk.com,Kippdorfstr. 6 - 24 42857 Remscheid Deutschland 
Alfa Laval Mid Europe,alfalaval.germany@alfalaval.com,(+49 40) 72 74-03,http://www.alfalaval.com,Wilhelm-Bergner-Str. 7 21509 Glinde Deutschland 
AMK Arnold Müller,info@amk-group.com,(+49 7021) 50 05-0,http://www.amk-group.com,Gaußstr. 37 - 39 73230 Kirchheim Deutschland 
Aachener Misch- und Knetmaschinenfabrik,info@amk-de.net,(+49 241) 70 50-40,http://www.amk-de.net,Vaalser Str. 71 52074 Aachen Deutschland 
AML Anlagentechnik,info@aml-anlagentechnik.de,(+49 345) 7 77 98 59-0,http://www.aml-anlagentechnik.de,Berlinerstr. 130 06258 Schkopau Deutschland 
AMMANN Asphalt,ammann@ammann.de,(+49 5181) 76-0,http://www.ammann.de,Hannoversche Str. 7 31061 Alfeld Deutschland 
Ammann Elba Beton,info.abd@ammann-group.com,(+49 7243) 72-0,http://www.ammann-group.com,Pforzheimer Str. 128b 76275 Ettlingen Deutschland 
AMMANN Verdichtung,ammann.hennef@ammann-group.com,(+49 2242) 88 02-0,http://www.ammann-group.com,Josef-Dietzgen-Str. 36 53773 Hennef Deutschland 
AMOVA,info@amova.eu,(+49 2738) 21-0,http://www.amova.eu,Obere Industriestr. 8 57250 Netphen Deutschland 
Ampack,post@ampack.info,(+49 8231) 60 05-0,http://www.ampack.info,Lechfeldgraben 7 86343 Königsbrunn Deutschland 
AMPHITECH DEUTSCHLAND,info@amphitech.de,(+49 681) 99 63-1 67,http://www.amphitech.de,Lebacher Str. 4 66113 Saarbrücken Deutschland 
ams.Solution,info@ams-erp.com,(+49 4202) 96 86-0,http://www.ams-erp.com,An der Eisenbahn 4 28832 Achim Deutschland 
Amsbeck-Maschinentechnik,info@amsbeck-mt.de,(+49 25 82) 6 68 12-0,http://www.amsbeck-mt.de,Boschweg 15 48351 Everswinkel Deutschland 
ANCA Europe,gerinfo@anca.com,(+49 620) 1 84-66 90,http://www.anca.com,Im Technologiepark 15 69469 Weinheim Deutschland 
Anderson Europe,info@andersoneurope.com,(+49 5231) 96 63-0,http://www.andersoneurope.com,Am Oberen Feld 5 32758 Detmold Deutschland 
andrena objects,stuttgart@andrena.de,(+49 721) 61 05-1 22,http://www.andrena.de,Albert-Nestler-Str. 9 76131 Karlsruhe Deutschland 
ANDRITZ,pulpandpaper.fi@andritz.com,(+358 20) 4 50-55 55,http://www.andritz.com,Tammasaarenkatu 1 FI-00180 Helsinki Finnland 
ANDRITZ,seperationuk@andritz.com,(+44 1782) 56-56 56,http://www.andritz.com,Speedwell Road Parkhouse East ST5 7RG Staffordshire Großbritannien 
ANDRITZ,welcomehemer@andritz.com,(+49 2372) 5 40,http://www.andritz.com,Stehpanopeler Str. 22 58675 Hemer Deutschland 
ANDRITZ,pulpandpaper.se@andritz.com,(+46 660) 29 53-00,http://www.andritz.com,Köpmangatan 9 89121 Örnsköldsvik Schweden 
ANDRITZ,infoandritzkft@andritz.com,(+36 76) 5 42-1 00,http://www.andritz.com,Dózsa telep 69 6060 Tiszakécske Ungarn 
ANDRITZ,welcome@andritz.com,(+33 2) 54 61 33-33,http://www.andritz.com,Allée de Garenne - B.P. 69 36002 Chateauroux Cedex Frankreich 
ANDRITZ HYDRO,contact-hydro@andritz.com,(+43 50) 8 05-0,http://www.andritz.com/hydro,Eibesbrunnergasse 20 1120 Wien Österreich 
ANDRITZ Hydro,contact-hydro.fr@andritz.com,(+33 476) 85 95 23,http://www.andritz.com,49-51 Boulevard Paul Langevin 38601 Fontaine cedex Frankreich 
ANDRITZ HYDRO,contact-hydro.no@andritz.com,(+47 61) 31 52 00,http://www.andritz.no,Bergermoen 3520 Jevnaker Norwegen 
ANDRITZ HYDRO,contact-hydro.it@andritz.com,(+390 445) 6 78-2 11,http://www.andritz.com,Via Daniele Manin 16/18 36015 Schio Italien 
ANDRITZ Hydro Hammerfest (UK),contact@hammerfeststrom.com,(+44 141) 5 85 64 47,http://www.andritz.com,1 Ainslie Road Hillington Park G52 4RU Glasgow Großbritannien 
ANDRITZ HYDRO,contact-hydro.se@andritz.com,(+46 640) 1 77-00,http://www.andritz.com,Vaplans Väg 29 83505 Nälden Schweden 
Andritz Hydro,contact-hydro.ch@andritz.com,(+41 41) 3 29-51 11,,Obernauserstr. 4 6010 Kriens Schweiz 
ANDRITZ Hydro,contact-hydro.f@andritz.com,(+358 3) 2 56 43-1 11,http://www.andritz.com,Hatanpään valtatie 11 33100 Tampere Finnland 
ANDRITZ HYDRO,contact-hydro.de@andritz.com,(+49 751) 2 95 11-0,http://www.andritz-hydro.de,Escher-Wyss-Weg 1 88212 Ravensburg Deutschland 
ANDRITZ HYDRO,contact-hydro.es@andritz.com,(+34 91) 4 25-10 00,http://www.andritz.com,Paseo de la Castellana 163 E-28046 Madrid Spanien 
ANDRITZ Iggesund Tools,igginfo@andritz.com,(+46 650) 2 91-00,http://www.andritz.com,Forsavägen 7 825 21 Iggesund Schweden 
ANDRITZ Ingenieria,separation.es@andritz.com,(+34 91) 6 63 64 09,http://www.andritz.com,Agustin Y Antonia 12 28703 San Sebastian de Los Reyes Spanien 
ANDRITZ Kaiser,andritz.kaiser@andritz.com,(+49 7252) 9 10-01,http://www.kaiser-pressen.de,Gewerbestr. 30 75015 Bretten Deutschland 
ANDRITZ KMPT,kmpt@andritz.com,(+49 8139) 8 02 99-0,http://www.andritz.com/separation,Industriestr. 1 - 3 85256 Vierkirchen Deutschland 
ANDRITZ Kufferath,kufferath@andritz.com,(+49 2421) 8 01-1 04,http://www.kufferath.com,Lommessemstr. 32 - 36 52353 Düren Deutschland 
ANDRITZ Küsters,kuesters@andritz.com,(+49 2151) 34-0,http://www.andritz.com/kuesters-de,Eduard-Küsters-Str. 1 47805 Krefeld Deutschland 
Andritz MAERZ,welcome-maerz@andritz.com,(+49 211) 3 84 25-0,http://www.andritz.com/me-andritz-maerz-gmbh-germany,Corneliusstr. 36 40215 Düsseldorf Deutschland 
ANDRITZ MeWa,info.mewa@andritz.com,(+49 7056) 9 25-0,http://www.andritz.com/mewa,Herdweg 4 75391 Gechingen Deutschland 
ANDRITZ Perfojet,perfojet@andritz.com,(+33 4) 76 52 23 11,http://www.andritz.com/nonwoven,530 rue Aristide Bergès 38330 Montbonnot Frankreich 
ANDRITZ Ritz,ritz@andritz.com,(+49 7171) 6 09-0,http://www.ritz.de,Güglingstr. 50 73529 Schwäbisch Gmünd Deutschland 
ANDRITZ Selas,welcome.selas@andritz.com,(+33 1) 40 80 34-00,http://www.andritz.com,4 avenue Laurent Cely Hall A 92600 Asnières-sur-Seine Frankreich 
ANDRITZ SEPARATION,separation.de@andritz.com,(+49 2203) 57 52-0,http://www.andritz.com/separation,Edmund-Rumpler-Str. 6A 51149 Köln Deutschland 
ANDRITZ Slovakia,andritz.sk@andritz.com,(+421 57) 2 90 90 01,http://slovakia.andritz.sk,Chemlonská 1 06601 Humenné Slowakische Republik 
ANDRITZ Sundwig,sundwig_welcome@andritz.com,(+49 2372) 54-0,http://www.andritz.com,Stephanopeler Str. 22 58675 Hemer Deutschland 
ANDRITZ Thermtec,welcome.thermtec@andritz.com,(+31 10) 2 80 16 60,http://www.andritz.com,Wijnhaven 76 3011 WT Rotterdam Niederlande 
ANEDO,info@anedo.de,(+49 5442) 8 03 79-0,http://www.anedo.de,Hülsmeyerstr. 35 49406 Eydelstedt Deutschland 
Annen Verfahrenstechnik,info@annen.net,(+49 8382) 2 73 07-0,http://www.kaltwassersystem.de,Langgasse 5 88149 Nonnenhorn Deutschland 
Anronaut,contact@anronaut.ch,(+41 44) 575 83 37,www.anronaut.ch,Industriestr. 35 8112 Otelfingen Schweiz 
Antaco (UK),office@antaco.co.uk,(+44 1483) 578632,http://www.antaco.co.uk/,Station House Connaught Road GU24 0ER Surrey Großbritannien 
ANTHON,info@anthon.de,(+49 461) 58 03-0,http://www.anthon.de,Schäferweg 5 24941 Flensburg Deutschland 
Anton Paar ProveTec,info.provetec@anton-paar.com,(+49 33708) 56-3 00,http://www.anton-paar.com,Ludwig-Erhard-Ring 13 15827 Blankenfelde-Mahlow Deutschland 
apc analytics,info@apc-analytics.com,(+49 6171) 9 12 93-0,www.apc-analytics.com,Daimlerstr. 17 61449 Steinbach Deutschland 
Apex Tool Group,htwe.sales@apextoolgroup.com,(+49 7363) 81-0,http://www.apexpowertools.eu,Industriestr. 1 73463 Westhausen Deutschland 
API Schmidt-Bretten,info@apiheattransfer.de,(+49 7252) 53-0,http://www.apiheattransfer.com,Langenmorgen 4 75015 Bretten Deutschland 
APL Apparatebau,info@apl-dormagen.de,(+49 2133) 27 24-0,http://www.apl-apparatebau.com,Robert-Bosch-Str. 22 41541 Dormagen Deutschland 
Apollo Gößnitz,vertrieb@apollo-goessnitz.de,(+49 34493) 77-0,http://www.apollo-goessnitz.de,Walter-Rabold-Str. 26 04639 Gößnitz Deutschland 
Aquis Wasser-Luft-Systeme,info@aquis.ch,(+41 71) 7 75 95 00,http://www.aquis.ch,Wackerstr. 9 88131 Lindau Deutschland 
ARBURG,contact@arburg.com,(+49 7446) 33-0,http://www.arburg.com,Arthur-Hehl-Str. 72290 Loßburg Deutschland 
ARC Solutions,info@arcsolutions.de,(+49 371) 5 23 19-0,http://www.arcsolutions.de,Annaberger Str. 73 09111 Chemnitz Deutschland 
ARCA Regler,sale@arca-valve.com,(+49 2156) 77 09-0,http://www.arca-valve.com,Kempener Str. 18 47918 Tönisvorst Deutschland 
Arcam Cad to Metal,peter.jain@arcam.com,(+49 711) 93 15 03 90,http://www.arcam.com,Boschstr. 10 73734 Esslingen Deutschland 
arco Armaturenfabrik,info@arco-obrigheim.de,(+49 6261) 97 10-0,http://www.arco-obrigheim.de,Hochhäuser Str. 59 74847 Obrigheim Deutschland 
VON ARDENNE,office@vonardenne.biz,(+49 351) 26 37-3 00,http://www.vonardenne.biz/,Am Hahnweg 8 01328 Dresden Deutschland 
ARGO-HYTOS,info.de@argo-hytos.com,(+49 7250) 76-0,http://www.argo-hytos.com,Industriestr. 9 76703 Kraichtal Deutschland 
ARI-Armaturen,info.vertrieb@ari-armaturen.com,(+49 5207) 9 94-0,http://www.ari-armaturen.com,Mergelheide 56 - 60 33758 Schloß Holte-Stukenbrock Deutschland 
ARISTO Graphic Systeme,sales@aristo.de,(+49 40) 5 47 47-0,http://www.aristo.de,Schnackenburgallee 117 22525 Hamburg Deutschland 
ARKU Maschinenbau,info@arku.de,(+49 7221) 50 09-0,http://www.arku.de,Siemensstr. 11 76532 Baden-Baden Deutschland 
Armaturenwerk Altenburg,info@awa-armaturenwerk.de,(+49 3447) 8 93-0,http://www.awa-armaturenwerk.de,Am Weißen Berg 30 04600 Altenburg Deutschland 
Armaturenwerk Halle,awh-halle@t-online.de,(+49 345) 20 55-0,http://www.ari-armaturen.de,Turmstr. 118 - 123 06110 Halle Deutschland 
K. H. Arnold,info@arnold-rv.de,(+49 751) 3 61 69-0,http://www.arnold-rv.de,Gottlieb-Daimler-Str. 29 88214 Ravensburg Deutschland 
Herbert Arnold,,,,Weilstr. 6 35781 Weilburg Deutschland 
ARNOLD IT Systems,,,,Tullastr. 70 79108 Freiburg Deutschland 
AS-MOTOR,,,,Ellwanger Str. 15 74424 Bühlertann Deutschland 
ASCO Numatics,,,,Otto-Hahn-Str. 7-11 75248 Ölbronn-Dürrn Deutschland 
Asentics,,,,Birlenbacher Str. 19 - 21 57078 Siegen Deutschland 
asimovero.AI,,,,Mozartstr. 51 85579 Neubiberg Deutschland 
Asprova,,,,Leihgesterner Weg 10 35625 Hüttenberg Deutschland 
ASS Maschinenbau,,,,Klef 2 51491 Overath Deutschland 
Asseco Solutions,,,,Amalienbadstr. 41 Bau 54 76227 Karlsruhe Deutschland 
ASSYST,,,,Max-Planck-Str. 3 85609 Aschheim Deutschland 
A.S.T. Angewandte SYSTEM-TECHNIK,ast.dd@ast.de,(+49 351) 44 55-30,http://www.ast.de,Marschnerstr. 26 01307 Dresden Deutschland 
ASTOR Schneidwerkzeuge,info@astorblades.de,(+49 33678) 6 49-0,http://www.astorblades.de,Lebbiner Str. 18 15859 Storkow Deutschland 
ATEK Antriebstechnik,atek@atek.de,(+49 4101) 79 53-0,http://www.atek.de,Siemensstr. 47 25462 Rellingen Deutschland 
ATEMAG,info@atemag.de,(+49 7832) 99 97-0,http://www.atemag.de,Mühlenmatten 2 77716 Hofstetten Deutschland 
ATLANTA Antriebssysteme,info@atlantagmbh.de,(+49 7142) 70 01-0,http://www.atlantagmbh.de,Carl-Benz-Str. 16 74321 Bietigheim-Bissingen Deutschland 
Atlas Copco ENERGAS,atlascopco.energas@de.atlascopco.com,(+49 2236) 96 50-0,http://www.atlascopco-gap.com,Schlehenweg 15 50999 Köln Deutschland 
Atlas Copco Kompressoren,info.kompressoren@de.atlascopco.com,(+49 201) 21 77-0,http://www.atlascopco.de,Langemarckstr. 35 45141 Essen Deutschland 
Atlas Copco Power Technique,mdeinfo@de.atlascopco.com,(+49 201) 21 77-0,http://www.atlascopco.de,Langemarckstr. 35 45141 Essen Deutschland 
Atlas Weyhausen,info@weycor.de,(+49 4431) 9 81-0,http://www.weycor.de,Visbeker Str. 35 27793 Wildeshausen Deutschland 
ATOMA Gesellschaft f automatische Waagen,verkauf@atoma-multipond.de,(+49 8638) 9 61-0,http://www.multipond.com,Traunreuter Str. 2 84478 Waldkraiburg Deutschland 
ATR Industrie-Elektronik,info@atrie.de,(+49 2151) 9 26-1 00,http://www.atrie.de,Siempelkampstr. 50 47803 Krefeld Deutschland 
attocube systems,info@attocube.com,(+49 89) 420797-0,http://www.attocube.com,Eglfinger Weg 2 85540 Haar Deutschland 
AUCOTEC,info@aucotec.com,(+49-511) 61 03-0,http://www.aucotec.com,Oldenburger Allee 24 30659 Hannover Deutschland 
AUDI I/PA,werkzeugbau@audi.de,(+49 841) 89-0,http://www.audi.de, 85045 Ingolstadt Deutschland 
Paul Auer,vertrieb@auer-strahltechnik.de,(+49 621) 7 27 69-0,http://www.auer-strahltechnik.de,Bad Kreuznacher Str. 18 68309 Mannheim Deutschland 
Aulbach Automation,info@abk-pressenbau.de,(+49 6022) 2 64 76-0,http://www.abk-pressenbau.de,Am Amorbach 3 63853 Mömlingen Deutschland 
AUMA Motors + Systems,info.motors@auma.com,(+49 711) 34803-3500,http://www.auma-motors.com,Daimlerstr. 9 73760 Ostfildern Deutschland 
AUMA Riester,riester@auma.com,(+49 7631) 8 09-0,http://www.auma.com,Aumastr. 1 79379 Müllheim/Baden Deutschland 
AUMUND Fördererbau,info@aumund.de,(+49 2843) 72-0,http://www.aumund.de,Saalhoffer Str. 17 47495 Rheinberg Deutschland 
AUMUND Fördertechnik,info@aumund.com,(+49 2843) 72-0,http://www.aumund.de,Saalhoffer Str. 17 47495 Rheinberg Deutschland 
Autefa Solutions Germany,germany@autefa.com,(+49 821) 26 08-0,http://www.autefa.com,Paul-Lenz-Str. 1 86316 Friedberg Deutschland 
AUTOKÜHLER,info@akg-gruppe.de,(+49 5671) 8 83-0,http://www.akg-gruppe.de,Am Hohlen Weg 31 34369 Hofgeismar Deutschland 
Automation W+R,info@automationwr.de,(+49 89) 17 91 99-0,http://www.automationwr.de,Messerschmittstr. 7 80992 München Deutschland 
Autotherm L. Brümmendorf,info@autotherm.de,(+49 6554) 92 88-0,http://www.autotherm.de,Luxemburger Str. 39 54649 Waxweiler Deutschland 
AVA,info@ava-huep.de,(+49 8152) 93 92-0,http://www.ava-huep.de,Heinestr. 5 82211 Herrsching Deutschland 
avancon,design@avancon.com,(+41 091) 2 22 10 10,http://www.avancon.com,Via Campagna 27 6595 Riazzino Schweiz 
AVANTEC Zerspantechnik,info@avantec.de,(+49 7042) 82 22-0,http://www.avantec.de,Wilhelmstr. 123 75428 Illingen Deutschland 
Aventics,info@aventics.com,(+49 511) 21 36-0,http://www.aventics.com,Ulmer Str. 4 30880 Laatzen Deutschland 
AviComp Controls,info@avicomp.com,(+49 341) 2 17 87-0,http://www.avicomp.com,Ostwaldstr. 4 04329 Leipzig Deutschland 
AVISTA ERP Software,info@avista-erp.de,(+49 711) 13 53 30-0,http://www.avista-erp.de,Naststr. 15D 70376 Stuttgart Deutschland 
